Time,Full_Text,Clean_Plate,Image_Path
231323,"WASHINGTON
C28435J
• EVERGREEN STATE",WASHINGTONC28435JEVERGREENSTATE,lpr_output/plate_231323.jpg
231744,"Washingion
123456789",WASHINGION123456789,lpr_output/plate_231744.jpg
231807,"- Washingion
123456789",WASHINGION123456789,lpr_output/plate_231807.jpg
231812,"- Washingion
123456789",WASHINGION123456789,lpr_output/plate_231812.jpg
231935,743.72,74372,lpr_output/plate_231935.jpg
232112,"51G
7.43.72",51G74372,lpr_output/plate_232112.jpg
232248,"51G
7.43.72",51G74372,lpr_output/plate_232248.jpg
232302,"51G
7.43.72",51G74372,lpr_output/plate_232302.jpg
232421,"51G
7.43.72",51G74372,lpr_output/plate_232421.jpg
232430,"51G
7.43.72",51G74372,lpr_output/plate_232430.jpg
